Word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,0.548966,229.75848
your,0.554138,227.919477
your,0.55931,219.726235
your,0.564483,217.077428
your,0.569655,213.748931
your,0.574828,210.318151
your,0.58,212.453011
your,0.585172,209.770208
your,0.590345,207.694192
your,0.595517,205.57882
your,0.60069,203.494267
your,0.605862,203.069907
your,0.611034,203.222064
your,0.616207,202.838082
your,0.621379,203.562283
your,0.626552,204.658228
your,0.631724,205.764016
your,0.636897,206.440648
your,0.642069,206.892641
your,0.647241,207.437178
your,0.652414,207.760107
your,0.657586,208.312672
your,0.662759,209.649134
your,0.667931,210.525149
your,0.673103,211.431114
your,0.678276,211.497213
your,0.683448,211.749755
your,0.688621,212.805926
your,0.693793,212.529568
your,0.698966,214.930036
your,0.704138,216.505862
your,0.70931,217.464086
your,0.714483,219.98985
your,0.719655,222.292787
your,0.724828,225.34314
your,0.73,227.922851
your,0.735172,230.640712
your,0.740345,233.356361
your,0.745517,238.075736
your,0.75069,241.374922
your,0.755862,245.860749
your,0.761034,248.905824
your,0.766207,252.11091
your,0.771379,254.496016
your,0.776552,258.547093
your,0.781724,262.165324
your,0.786897,266.545673
your,0.792069,269.142665
your,0.797241,272.831297
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,0.828276,251.350542
your,0.833448,252.602699
your,0.838621,253.748226
your,0.843793,254.423239
your,0.848966,253.050616
your,0.854138,248.86009
your,0.85931,260.983477
your,0.864483,246.444831
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,0.962759,211.366778
good,0.967931,209.656465
good,0.973103,209.998721
good,0.978276,208.192197
good,0.983448,204.865925
good,0.988621,202.7513
good,0.993793,200.664174
good,0.998966,202.886009
good,1.004138,203.74388
good,1.00931,204.279436
good,1.014483,206.408421
good,1.019655,206.280521
good,1.024828,206.069757
good,1.03,207.334231
good,1.035172,208.049507
good,1.040345,208.831156
good,1.045517,209.992739
good,1.05069,210.208666
good,1.055862,210.634266
good,1.061034,212.221261
good,1.066207,213.963993
good,1.071379,215.774223
good,1.076552,216.693407
good,1.081724,216.706544
good,1.086897,210.594719
good,1.092069,198.671685
good,1.097241,213.670635
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,1.278276,212.307986
pants,1.283448,211.664011
pants,1.288621,210.726164
pants,1.293793,203.714586
pants,1.298966,203.136745
pants,1.304138,200.381111
pants,1.30931,195.093389
pants,1.314483,192.408092
pants,1.319655,188.626203
pants,1.324828,185.117646
pants,1.33,182.386367
pants,1.335172,178.425617
pants,1.340345,177.841431
pants,1.345517,177.318181
pants,1.35069,175.49674
pants,1.355862,174.616933
pants,1.361034,174.26525
pants,1.366207,173.102203
pants,1.371379,172.426361
pants,1.376552,172.302299
pants,1.381724,172.714813
pants,1.386897,173.619603
pants,1.392069,174.547145
pants,1.397241,175.533339
pants,1.402414,175.13336
pants,1.407586,176.589942
pants,1.412759,178.341362
pants,1.417931,179.805353
pants,1.423103,180.92962
pants,1.428276,181.908859
pants,1.433448,183.126693
pants,1.438621,185.059682
pants,1.443793,185.928879
pants,1.448966,185.797947
pants,1.454138,185.551346
pants,1.45931,186.716315
pants,1.464483,189.443836
pants,1.469655,190.313982
pants,1.474828,191.968633
pants,1.48,191.41751
pants,1.485172,194.873151
pants,1.490345,201.691471
pants,1.495517,200.851604
pants,1.50069,201.999111
pants,1.505862,205.484554
pants,1.511034,207.229125
pants,1.516207,204.177378
pants,1.521379,205.012101
pants,1.526552,209.963343
pants,1.531724,207.009852
pants,1.536897,194.7632
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,1.717931,214.906583
