Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.545625,249.683923,2081.277722,3359.440071,4249.417417
your,0.551875,258.676023,1894.004048,3300.558802,4164.049888
your,0.558125,353.720605,2124.839122,3444.760027,4288.037755
your,0.564375,404.417699,2121.427749,3582.878134,4723.89339
your,0.570625,418.754125,2090.557453,2832.611029,3684.735939
your,0.576875,427.336968,2058.502911,3129.018156,3682.481303
your,0.583125,426.241043,1988.307909,2646.831073,3579.002653
your,0.589375,431.223067,1750.965609,2537.198676,3556.527838
your,0.595625,436.828493,1561.462156,2523.811981,3593.684181
your,0.601875,452.424492,1419.191334,2467.281146,3580.989191
your,0.608125,481.045364,1357.618026,2404.607526,3528.512879
your,0.614375,524.133218,1286.274059,2306.091434,3517.314889
your,0.620625,538.277785,1212.770768,2340.066488,3520.596711
your,0.626875,568.237619,1198.376758,2563.193983,3347.560544
your,0.633125,591.408103,1127.821508,2565.122121,3004.771529
your,0.639375,597.719447,1071.9561,2463.690897,3076.157123
your,0.645625,598.882176,1078.931645,2405.612603,3086.75198
your,0.651875,608.0661,1107.636704,2220.662834,3271.587434
your,0.658125,619.973992,1106.509742,2180.42785,3433.099005
your,0.664375,625.266099,1107.410548,2182.573118,3407.107639
your,0.670625,633.960814,1135.067787,2166.839559,3405.575637
your,0.676875,655.040227,1197.337021,2279.501189,3466.707879
your,0.683125,666.49374,1255.66594,2514.624815,3548.125563
your,0.689375,657.792044,1210.744574,2235.432906,3609.240832
your,0.695625,658.585686,1251.230408,2212.694443,3649.067024
your,0.701875,665.232136,1317.714266,2264.137323,3692.578356
your,0.708125,673.460882,1354.24134,2296.697932,3706.963443
your,0.714375,676.276111,1388.356549,2192.855469,3769.982999
your,0.720625,681.433506,1439.256987,2100.028211,3740.164727
your,0.726875,693.124284,1463.555158,2035.073463,3657.320749
your,0.733125,699.906538,1525.972369,2043.547482,3668.237909
your,0.739375,703.980678,1574.951315,2051.357889,3716.533905
your,0.745625,725.782584,1550.028605,1995.251032,3753.308186
your,0.751875,742.833734,1568.655818,1973.603506,3763.240727
your,0.758125,729.207313,1537.21145,1982.649912,3776.815346
your,0.764375,708.938095,1508.736961,2008.681288,3740.456861
your,0.770625,684.903416,1529.404408,2025.619886,3770.602403
your,0.776875,704.956166,1576.452239,2028.859868,3926.240725
your,0.783125,719.609323,1599.771101,1989.674603,3909.371072
your,0.789375,709.919199,1607.237268,1929.538155,3820.129217
your,0.795625,673.050704,1613.21942,1915.495636,3654.730818
your,0.801875,663.663008,1636.651725,1942.034637,3678.259627
your,0.808125,609.067773,1648.00968,1957.099987,3635.783202
your,0.814375,608.763997,1659.044056,1972.36433,3754.928991
your,0.820625,618.135531,1681.742407,1996.642286,3682.153318
your,0.826875,613.783197,1701.651328,2007.402523,3673.787933
your,0.833125,589.481443,1680.68929,2017.231748,3723.444009
your,0.839375,562.838288,1714.765708,2030.047323,3441.844123
your,0.845625,520.151997,1744.246042,2035.467881,3850.706302
your,0.851875,484.262753,1767.470718,2015.235665,3603.02527
your,0.858125,496.059973,1748.764786,1994.213351,3457.987529
your,0.864375,502.931815,1703.429698,1972.882383,3418.857792
good,0.870625,522.562304,1718.580244,2023.351105,3460.230332
good,0.876875,539.509415,1803.610157,2033.830743,3580.91202
good,0.883125,572.929245,1838.315976,2089.298935,3653.347575
good,0.889375,611.425651,1769.534541,2106.777493,3619.847553
good,0.895625,591.026186,1749.087316,2316.674887,3579.722901
good,0.901875,633.798002,1770.337474,2522.089253,3678.250855
good,0.908125,635.810232,1770.012513,2429.325701,3697.883733
good,0.914375,600.132666,1770.441094,2409.432222,3730.543153
good,0.920625,635.576565,1918.786863,2319.583069,3647.369547
good,0.926875,669.440478,1827.510767,2454.697152,3644.473247
good,0.933125,660.077024,1718.380079,2466.020714,3657.633675
good,0.939375,612.588154,1585.131462,2350.670439,3753.400992
good,0.945625,487.40289,1588.193012,2093.974006,3778.689079
good,0.951875,473.839368,1590.904109,2112.361696,3768.124052
good,0.958125,438.734999,1555.213133,2135.021748,3761.639659
good,0.964375,426.225258,1502.373856,2257.195311,4047.054652
good,0.970625,430.850543,1473.006978,2552.910264,4561.080619
good,0.976875,437.557742,1454.400592,2647.183685,4535.990639
good,0.983125,444.664068,1475.243785,2606.733687,4469.281233
good,0.989375,460.381241,1522.99117,2589.552996,4386.963444
good,0.995625,474.676002,1518.026334,2588.301109,4153.183019
good,1.001875,484.0049,1489.841179,2633.377306,4214.259628
good,1.008125,498.481492,1502.431145,2643.209079,4222.699757
good,1.014375,517.225323,1489.791002,2660.911482,4044.67722
good,1.020625,539.065681,1480.37661,2671.126552,3988.899915
good,1.026875,552.52723,1476.062595,2667.962282,3972.30349
good,1.033125,553.871713,1479.460631,2677.14025,3944.009738
good,1.039375,564.506016,1487.679878,2686.856699,3941.34968
good,1.045625,581.306545,1524.305251,2687.504558,3909.785036
good,1.051875,580.621236,1627.741359,2663.143778,3774.12194
good,1.058125,578.991997,1648.68854,2634.055722,3819.002957
good,1.064375,584.357153,1654.016932,2730.424768,3909.591825
good,1.070625,574.528716,1643.391243,2775.743862,4363.512441
good,1.076875,534.398806,1609.078413,2763.212818,4407.688973
good,1.083125,487.777754,1643.188651,2726.217305,4280.041404
good,1.089375,457.758886,1608.304979,2677.055288,4222.810223
good,1.095625,477.169039,1568.093079,2723.518247,4246.281425
good,1.101875,578.399537,1623.677322,2698.533099,4132.299598
good,1.108125,633.403195,1634.257278,2663.800927,4145.084208
good,1.114375,653.559847,1618.856672,2668.455936,3889.948944
good,1.120625,699.4028,1621.454899,2794.259189,3982.051247
good,1.126875,676.799429,1570.09246,2903.976463,4359.952897
good,1.133125,789.617148,1557.156147,3231.207964,4213.964215
good,1.139375,784.331507,1575.845393,2856.979628,3955.872187
good,1.145625,824.248088,1656.36414,2974.208338,4182.595237
good,1.151875,840.21229,1704.020457,3099.041332,4139.981068
good,1.158125,761.361393,1702.01169,3081.034966,4203.454962
good,1.164375,659.8293,1693.580444,2916.185106,4206.65465
